Index,Month,Returns (%)
Dow Jones,January,0.09401755811481069
Dow Jones,February,-0.011919167410369053
Dow Jones,March,0.8672451141666953
Dow Jones,April,2.1771834971805184
Dow Jones,May,0.31123760131563827
Dow Jones,June,-0.3264371302211554
Dow Jones,July,1.6928158136417906
Dow Jones,August,-0.617886690053817
Dow Jones,September,-0.7803380583666243
Dow Jones,October,1.8242860609677054
Dow Jones,November,2.6087191138281387
Dow Jones,December,1.1748236608475686
NASDAQ,January,2.161473630648148
NASDAQ,February,0.8359983642263547
NASDAQ,March,0.9126541294700793
NASDAQ,April,1.0269897522080462
NASDAQ,May,1.5374063914059612
NASDAQ,June,1.0620416206468104
NASDAQ,July,1.2721074813083852
NASDAQ,August,0.23444667417061665
NASDAQ,September,-0.961991860169683
NASDAQ,October,0.9491676884290179
NASDAQ,November,2.1739862161167505
NASDAQ,December,1.7656283043014496
S&P 500,January,0.9235404389410677
S&P 500,February,0.4198337925302216
S&P 500,March,1.189476115991258
S&P 500,April,1.4399258134724389
S&P 500,May,1.249688571060398
S&P 500,June,0.2708373298159622
S&P 500,July,1.4302476732082667
S&P 500,August,-0.3093772440475614
S&P 500,September,-1.012142016539039
S&P 500,October,1.029060762108063
S&P 500,November,1.853423909429252
S&P 500,December,1.5314605922389235
